Chemical,Medium,Group,Phylum,Genus,Species,Notes,Life stage,Duration (d),Toxicity measure,Test endpoint,Conc,Reference,Timeframe
perfluorooctane_sulfonate_pfos,freshwater,Green alga,Chlorophyta,Raphidocelis,subcapitata,,Not stated,4,IC10,Growth and biomass,5300,perfluorooctane-sulfonate-pfos-fresh2026,chronic
perfluorooctane_sulfonate_pfos,freshwater,Green alga,Chlorophyta,Tetradesmus,obliquus,,Exponential growth phase,4,NOEC,Growth and biomass,25000,perfluorooctane-sulfonate-pfos-fresh2026,chronic
perfluorooctane_sulfonate_pfos,freshwater,Insect,Arthropoda,Aedes,aegypti,,Larva 1st instar,40,NOEC,Survival,50,perfluorooctane-sulfonate-pfos-fresh2026,chronic
perfluorooctane_sulfonate_pfos,freshwater,Insect,Arthropoda,Chironomus,dilutus,,Larva,16,LC10,Mortality,1.36,perfluorooctane-sulfonate-pfos-fresh2026,chronic
perfluorooctane_sulfonate_pfos,freshwater,Insect,Arthropoda,Enallagma,cyathigerum,,Larva,120,NOEC,Development,7.95,perfluorooctane-sulfonate-pfos-fresh2026,chronic
perfluorooctane_sulfonate_pfos,freshwater,Insect,Arthropoda,Neocloeon,triangulifer,,Larva,14,EC10,Growth,0.23,perfluorooctane-sulfonate-pfos-fresh2026,chronic
perfluorooctane_sulfonate_pfos,freshwater,Macrophyte,Tracheophyta,Lemna,gibba,,Not stated,42,NOEC,Growth,300,perfluorooctane-sulfonate-pfos-fresh2026,chronic
perfluorooctane_sulfonate_pfos,freshwater,Macrophyte,Tracheophyta,Myriophyllum,sibiricum,,Not stated,42,EC10,Growth,600,perfluorooctane-sulfonate-pfos-fresh2026,chronic
perfluorooctane_sulfonate_pfos,freshwater,Macrophyte,Tracheophyta,Myriophyllum,spicatum,,Not stated,28,EC10,Growth,3300,perfluorooctane-sulfonate-pfos-fresh2026,chronic
perfluorooctane_sulfonate_pfos,freshwater,Mollusc,Mollusca,Lymnaea,stagnalis,,Adult,21,NOEC,Survival,3000,perfluorooctane-sulfonate-pfos-fresh2026,chronic
perfluorooctane_sulfonate_pfos,freshwater,Mollusc,Mollusca,Physa,pomilia,,Egg F1 generation,44,NOEC,Reproduction,10000,perfluorooctane-sulfonate-pfos-fresh2026,chronic
perfluorooctane_sulfonate_pfos,freshwater,Flatworm,Platyhelminthes,Dugesia,japonica,,Fragment,10,LOEC,Reproduction,200,perfluorooctane-sulfonate-pfos-fresh2026,chronic
perfluorooctane_sulfonate_pfos,freshwater,Rotifer,Rotifera,Brachionus,calyciflorus,,Neonate,28,LOEC,Population,100,perfluorooctane-sulfonate-pfos-fresh2026,chronic
nitrate,soft freshwater,Microalga,Chlorophyta,Raphidocelis,subcapitata,,Exponential growth,3,IC10,Growth,247,nitrate-fresh2024,chronic
nitrate,soft freshwater,Mollusc,Mollusca,Sphaerium,novaezelandiae,,Juvenile,60,LC10,Mortality,8.6,nitrate-fresh2024,chronic
nitrate,soft freshwater,Mollusc,Mollusca,Potamopyrgus,antipodarum,,Juvenile,40,EC10,Growth length,1.4,nitrate-fresh2024,chronic
nitrate,soft freshwater,Crustacean,Arthropoda,Paranephrops,planifrons,,Juvenile,60,EC10,Growth length,2.2,nitrate-fresh2024,chronic
nitrate,soft freshwater,Fish,Chordata,Coregonus,clupeaformis,,Embryo alevin fry,126,NOEC,Development,6.3,nitrate-fresh2024,chronic
nitrate,soft freshwater,Fish,Chordata,Galaxias,maculatus,,Juvenile,40,EC10,Mortality,2,nitrate-fresh2024,chronic
nitrate,soft freshwater,Fish,Chordata,Gobiomorphus,cotidianus,,Juvenile,21,EC10,Growth weight,22.5,nitrate-fresh2024,chronic
nitrate,soft freshwater,Fish,Chordata,Oncorhynchus,mykiss,,Fry,30,NOEC,Mortality,2.2,nitrate-fresh2024,chronic
nitrate,soft freshwater,Fish,Chordata,Oncorhynchus,tshawytscha,,Fry,30,NOEC,Mortality,2.3,nitrate-fresh2024,chronic
nitrate,soft freshwater,Fish,Chordata,Pimephales,promelas,,Embryo larvae,7,IC10,Growth weight,52,nitrate-fresh2024,chronic
nitrate,soft freshwater,Fish,Chordata,Salmo,clarkii,,Fry,30,NOEC,Mortality,4.5,nitrate-fresh2024,chronic
nitrate,soft freshwater,Fish,Chordata,Salvelinus,namaycush,,Embryo alevin fry,146,NOEC,Growth weight,1.6,nitrate-fresh2024,chronic
nitrate,soft freshwater,Amphibian,Chordata,Rana,aurora,,Embryo larvae,16,NOEC,Growth weight,117,nitrate-fresh2024,chronic
nitrate,soft freshwater,Amphibian,Chordata,Xenopus,laevis,,Tadpole,10,NOEC,Growth weight,24.8,nitrate-fresh2024,chronic
nitrate,moderate freshwater,Mollusc,Mollusca,Lampsilis,siliquoidea,,Juvenile,28,EC20,Weight,17,nitrate-fresh2024,chronic
nitrate,moderate freshwater,Insect,Arthropoda,Chironomus,dilutus,,Larva,10,IC10,Growth weight,5.8,nitrate-fresh2024,chronic
nitrate,moderate freshwater,Insect,Arthropoda,Deleatidium,sp.,,Larva,20,NOEC,Mortality,20.3,nitrate-fresh2024,chronic
nitrate,moderate freshwater,Crustacean,Arthropoda,Ceriodaphnia,dubia,,Neonates,7,IC10,Reproduction,19.4,nitrate-fresh2024,chronic
nitrate,moderate freshwater,Crustacean,Arthropoda,Hyalella,azteca,,Juvenile,42,EC20,Growth weight,11,nitrate-fresh2024,chronic
nitrate,moderate freshwater,Fish,Chordata,Danio,rerio,,Juvenile,29,NOEC,Mortality and growth weight,200,nitrate-fresh2024,chronic
nitrate,moderate freshwater,Fish,Chordata,Galaxias,maculatus,,Juvenile,40,LC10,Mortality,26.6,nitrate-fresh2024,chronic
nitrate,moderate freshwater,Fish,Chordata,Gobiomorphus,cotidianus,,Juvenile,21,LC10,Mortality,24.9,nitrate-fresh2024,chronic
nitrate,moderate freshwater,Fish,Chordata,Oncorhynchus,mykiss,,Fry,42,EC10,Yolk development,120,nitrate-fresh2024,chronic
nitrate,moderate freshwater,Fish,Chordata,Pimephales,promelas,,Embryo larvae,7,IC10,Growth weight,6.6,nitrate-fresh2024,chronic
nitrate,moderate freshwater,Amphibian,Chordata,Pseudacris,regilla,,Embryo,10,NOEC,Length,56.7,nitrate-fresh2024,chronic
nitrate,hard freshwater,Microalga,Chlorophyta,Chlorella,sp.,,Exponential growth,3,NOEC,Growth,1600,nitrate-fresh2024,chronic
nitrate,hard freshwater,Microalga,Chlorophyta,Oocystis,solitaria,,Exponential growth,3,IC10,Growth,1700,nitrate-fresh2024,chronic
nitrate,hard freshwater,Cnidarian,Cnidaria,Hydra,viridissima,,Adult,4,IC10,Population growth,220,nitrate-fresh2024,chronic
nitrate,hard freshwater,Insect,Arthropoda,Chironomus,dilutus,,Larvae,10,IC10,Growth weight,120,nitrate-fresh2024,chronic
nitrate,hard freshwater,Crustacean,Arthropoda,Ceriodaphnia,dubia,,Neonates,7,IC10,Reproduction,28.5,nitrate-fresh2024,chronic
nitrate,hard freshwater,Crustacean,Arthropoda,Daphnia,magna,,Neonates,7,NOEC,Reproduction,358,nitrate-fresh2024,chronic
nitrate,hard freshwater,Crustacean,Arthropoda,Hyalella,azteca,,Juvenile,14,IC10,Growth weight,102,nitrate-fresh2024,chronic
nitrate,hard freshwater,Crustacean,Arthropoda,Simocephalus,heilongjiangensis,,Neonates,13,IC10,Reproduction,45,nitrate-fresh2024,chronic
nitrate,hard freshwater,Fish,Chordata,Notropis,topeka,,Juvenile,30,NOEC,Growth,268,nitrate-fresh2024,chronic
nitrate,hard freshwater,Fish,Chordata,Oncorhynchus,mykiss,,Fry,42,IC10,Growth,335,nitrate-fresh2024,chronic
nitrate,hard freshwater,Fish,Chordata,Pimephales,promelas,,Embryo larvae,32,EC10,Growth weight,46.7,nitrate-fresh2024,chronic
nitrate,hard freshwater,Amphibian,Chordata,Hyla,versicolor,,Juvenile,52,EC20,Metamorphosis,47,nitrate-fresh2024,chronic
