scientificname,sources,n_rows,is_genus_placeholder,is_non_binomial,taxonomy_source,filter_level_used,status,accepted_name,aphia_id,gbif_key,rank_resolved,resolved_kingdom,resolved_phylum,resolved_class,resolved_order,resolved_family,resolved_genus,habitat,source_taxonomy_kingdom,source_taxonomy_phylum,source_taxonomy_class,source_taxonomy_order,source_taxonomy_family,source_taxonomy_genus,hierarchy_match,taxonomy_provenance,manual_correction_applied,manual_corrected_query_name,manual_correction_note
Plecostomus commersoni,"envirotox,wqbench",22,FALSE,FALSE,wqbench,exact_name_priority,exact_unaccepted_filtered,Hypostomus commersoni,1393170,NA,Species,Animalia,Chordata,Teleostei,Siluriformes,Loricariidae,Plecostomus,freshwater,Animalia,Chordata,Actinopterygii,Siluriformes,Pimelodidae,Plecostomus,TRUE,worms_full,FALSE,NA,NA
Pycnopsyche sp.,wqbench,22,TRUE,FALSE,wqbench,none,gbif_resolved,Pycnopsyche,NA,1442749,GENUS,Animalia,Arthropoda,Insecta,Trichoptera,Limnephilidae,Pycnopsyche,NA,Animalia,Arthropoda,Insecta,Trichoptera,Limnephilidae,Pycnopsyche,TRUE,gbif_full,FALSE,NA,NA
Rhabdosargus sarba,wqbench,22,FALSE,FALSE,wqbench,phylum,exact_filtered,Rhabdosargus sarba,218621,NA,Species,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sparidae,Rhabdosargus,marine|brackish,Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,Rhabdosargus,TRUE,worms_full,FALSE,NA,NA
Scapholeberis mucronata,"envirotox,wqbench",22,FALSE,FALSE,wqbench,class,exact_filtered,Scapholeberis mucronata,148398,NA,Species,Animalia,Arthropoda,Branchiopoda,Anomopoda,Daphniidae,Scapholeberis,brackish|freshwater,Animalia,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Scapholeberis,TRUE,worms_full,FALSE,NA,NA
Sigara striata,"envirotox,wqbench",22,FALSE,FALSE,wqbench,class,exact_filtered,Sigara striata,504209,NA,Species,Animalia,Arthropoda,Insecta,Hemiptera,Corixidae,Sigara,brackish|freshwater,Animalia,Arthropoda,Insecta,Heteroptera,Corixidae,Sigara,TRUE,worms_full,FALSE,NA,NA
Acanthomysis costata,"anztox,envirotox",21,FALSE,FALSE,envirotox,class,exact_unaccepted_filtered,Holmesimysis costata,226390,NA,Species,Animalia,Arthropoda,Malacostraca,Mysida,Mysidae,Acanthomysis,marine,Animalia,Arthropoda,Malacostraca,Mysida,Mysidae,NA,TRUE,worms_full,FALSE,NA,NA
Acropora formosa,wqbench,21,FALSE,FALSE,wqbench,exact_name_priority,exact_unaccepted_filtered,Acropora muricata,207036,NA,Species,Animalia,Cnidaria,Hexacorallia,Scleractinia,Acroporidae,Acropora,marine,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,TRUE,worms_full,FALSE,NA,NA
Anopheles arabiensis,wqbench,21,FALSE,FALSE,wqbench,none,gbif_resolved,Anopheles arabiensis,NA,1650772,SPECIES,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,NA,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,TRUE,gbif_full,FALSE,NA,NA
Anuraeopsis sp.,wqbench,21,TRUE,FALSE,wqbench,genus_only,genus_resolved,Anuraeopsis sp.,148362,NA,Genus,Animalia,Rotifera,Eurotatoria,Ploima,Brachionidae,Anuraeopsis,brackish|freshwater,Animalia,Rotifera,Monogononta,Ploima,Brachionidae,Anuraeopsis,TRUE,worms_full,FALSE,NA,NA
Asplanchna girodi,wqbench,21,FALSE,FALSE,wqbench,phylum,exact_filtered,Asplanchna girodi,391964,NA,Species,Animalia,Rotifera,Eurotatoria,Ploima,Asplanchnidae,Asplanchna,brackish|freshwater,Animalia,Rotifera,Monogononta,Ploima,Asplanchnidae,Asplanchna,TRUE,worms_full,FALSE,NA,NA
Azolla caroliniana,wqbench,21,FALSE,FALSE,wqbench,none,gbif_resolved,Azolla caroliniana,NA,2650105,SPECIES,Plantae,Tracheophyta,Polypodiopsida,Salviniales,Salviniaceae,Azolla,NA,Plantae,Polypodiophyta,Filicopsida,Salviniales,Salviniaceae,Azolla,FALSE,gbif_full,FALSE,NA,NA
Callibaetis sp.,wqbench,21,TRUE,FALSE,wqbench,none,gbif_resolved,Callibaetis,NA,1407575,GENUS,Animalia,Arthropoda,Insecta,Ephemeroptera,Baetidae,Callibaetis,NA,Animalia,Arthropoda,Insecta,Ephemeroptera,Baetidae,Callibaetis,TRUE,gbif_full,FALSE,NA,NA
Chlamydomonas sp,"anztox,envirotox",21,TRUE,FALSE,envirotox,genus_only,genus_resolved,Chlamydomonas sp,178583,NA,Genus,Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,Chlamydomonas,marine|brackish|freshwater|terrestrial,Plantae,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,NA,TRUE,worms_full,FALSE,NA,NA
Chydorus ovalis,"envirotox,wqbench",21,FALSE,FALSE,wqbench,class,exact_filtered,Chydorus ovalis,412809,NA,Species,Animalia,Arthropoda,Branchiopoda,Anomopoda,Chydoridae,Chydorus,brackish|freshwater,Animalia,Arthropoda,Branchiopoda,Diplostraca,Chydoridae,Chydorus,TRUE,worms_full,FALSE,NA,NA
Diaptomus gracilis,"envirotox,wqbench",21,FALSE,FALSE,wqbench,exact_name_priority,exact_unaccepted_filtered,Eudiaptomus gracilis gracilis,247985,NA,Species,Animalia,Arthropoda,Copepoda,Calanoida,Diaptomidae,Diaptomus,freshwater,Animalia,Arthropoda,Maxillopoda,Calanoida,Diaptomidae,Diaptomus,TRUE,worms_full,FALSE,NA,NA
Donax trunculus,wqbench,21,FALSE,FALSE,wqbench,exact_name_priority,exact_filtered,Donax trunculus,139602,NA,Species,Animalia,Mollusca,Bivalvia,Cardiida,Donacidae,Donax,marine,Animalia,Mollusca,Bivalvia,Veneroida,Donacidae,Donax,TRUE,worms_full,FALSE,NA,NA
Dugesia sp.,wqbench,21,TRUE,FALSE,wqbench,genus_only,genus_resolved,Dugesia sp.,181568,NA,Genus,Animalia,Platyhelminthes,NA,Tricladida,Dugesiidae,Dugesia,marine|freshwater,Animalia,Platyhelminthes,Turbellaria,Tricladida,Planariidae,Dugesia,TRUE,worms_full,FALSE,NA,NA
Echinometra mathaei,"envirotox,wqbench",21,FALSE,FALSE,wqbench,exact_name_priority,exact_filtered,Echinometra mathaei,213383,NA,Species,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,marine,Animalia,Echinodermata,Echinoidea,Echinoida,Echinometridae,Echinometra,TRUE,worms_full,FALSE,NA,NA
Elasmopus bampo,"envirotox,wqbench",21,FALSE,FALSE,wqbench,class,exact_filtered,Elasmopus bampo,531470,NA,Species,Animalia,Arthropoda,Malacostraca,Amphipoda,Maeridae,Elasmopus,marine,Animalia,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Elasmopus,TRUE,worms_full,FALSE,NA,NA
Etroplus maculatus,"envirotox,wqbench",21,FALSE,FALSE,wqbench,phylum,exact_unaccepted_filtered,Pseudetroplus maculatus,280727,NA,Species,Animalia,Chordata,Teleostei,Cichliformes,Cichlidae,Etroplus,brackish|freshwater,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Etroplus,TRUE,worms_full,FALSE,NA,NA
Euchlanis sp.,wqbench,21,TRUE,FALSE,wqbench,genus_only,genus_resolved,Euchlanis sp.,134939,NA,Genus,Animalia,Rotifera,Eurotatoria,Ploima,Euchlanidae,Euchlanis,brackish|freshwater,Animalia,Rotifera,Monogononta,Ploima,Euchlanidae,Euchlanis,TRUE,worms_full,FALSE,NA,NA
Exosphaeroma gigas,wqbench,21,FALSE,FALSE,wqbench,class,exact_filtered,Exosphaeroma gigas,118946,NA,Species,Animalia,Arthropoda,Malacostraca,Isopoda,Sphaeromatidae,Exosphaeroma,marine,Animalia,Arthropoda,Malacostraca,Isopoda,Sphaeromatidae,Exosphaeroma,TRUE,worms_full,FALSE,NA,NA
Fragilaria capucina,wqbench,21,FALSE,FALSE,wqbench,none,ambiguous_after_filter,NA,NA,NA,NA,Chromista,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Fragilaria,NA,Chromista,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Fragilaria,NA,ambiguous_partial,FALSE,NA,NA
Goeldichironomus holoprasinus,"envirotox,wqbench",21,FALSE,FALSE,wqbench,class,exact_filtered,Goeldichironomus holoprasinus,1490675,NA,Species,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Goeldichironomus,terrestrial,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Goeldichironomus,TRUE,worms_full,FALSE,NA,NA
Helisoma trivolvis,"anztox,envirotox",21,FALSE,FALSE,envirotox,exact_name_priority,exact_unaccepted_filtered,Planorbella trivolvis,1001492,NA,Species,Animalia,Mollusca,Gastropoda,NA,Planorbidae,Helisoma,freshwater,Animalia,Mollusca,Gastropoda,Basommatophora,Planorbidae,NA,TRUE,worms_full,FALSE,NA,NA
Hydra sp.,wqbench,21,TRUE,FALSE,wqbench,genus_only,genus_resolved,Hydra sp.,267491,NA,Genus,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Hydridae,Hydra,freshwater,Animalia,Cnidaria,Hydrozoa,Hydroida,Hydridae,Hydra,TRUE,worms_full,FALSE,NA,NA
Hyla cinerea,wqbench,21,FALSE,FALSE,wqbench,class,exact_unaccepted_filtered,Dryophytes cinereus,1486506,NA,Species,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,freshwater|terrestrial,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,TRUE,worms_full,FALSE,NA,NA
Leptophlebia marginata,"envirotox,wqbench",21,FALSE,FALSE,wqbench,none,gbif_resolved,Leptophlebia marginata,NA,4481232,SPECIES,Animalia,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Leptophlebia,NA,Animalia,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Leptophlebia,TRUE,gbif_full,FALSE,NA,NA
Noemacheilus montanus,"envirotox,wqbench",21,FALSE,FALSE,wqbench,phylum,exact_unaccepted_filtered,Paraschistura montana,1623295,NA,Species,Animalia,Chordata,Teleostei,Cypriniformes,Balitoridae,Noemacheilus,freshwater,Animalia,Chordata,Actinopterygii,Cypriniformes,Balitoridae,Noemacheilus,TRUE,worms_full,FALSE,NA,NA
Palaemon adspersus,wqbench,21,FALSE,FALSE,wqbench,class,exact_filtered,Palaemon adspersus,107613,NA,Species,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemon,marine|brackish,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemon,TRUE,worms_full,FALSE,NA,NA
Paramecium bursaria,"envirotox,wqbench",21,FALSE,FALSE,wqbench,exact_name_priority,exact_filtered,Paramecium bursaria,426754,NA,Species,Chromista,Ciliophora,Oligohymenophorea,Peniculida,Parameciidae,Paramecium,marine|brackish,Animalia,Ciliophora,Ciliatea,Hymenostomatida,Parameciidae,Paramecium,TRUE,worms_full,FALSE,NA,NA
Planorbella campanulata,wqbench,21,FALSE,FALSE,wqbench,exact_name_priority,exact_filtered,Planorbella campanulata,564587,NA,Species,Animalia,Mollusca,Gastropoda,NA,Planorbidae,Planorbella,freshwater,Animalia,Mollusca,Gastropoda,Basommatophora,Planorbidae,Planorbella,TRUE,worms_full,FALSE,NA,NA
Platynereis dumerilii,"envirotox,wqbench",21,FALSE,FALSE,wqbench,exact_name_priority,exact_filtered,Platynereis dumerilii,130417,NA,Species,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Platynereis,marine,Animalia,Annelida,Errantia,Aciculata,Nereididae,Platynereis,TRUE,worms_full,FALSE,NA,NA
