scientificname,sources,n_rows,is_genus_placeholder,is_non_binomial,taxonomy_source,filter_level_used,status,accepted_name,aphia_id,gbif_key,rank_resolved,resolved_kingdom,resolved_phylum,resolved_class,resolved_order,resolved_family,resolved_genus,habitat,source_taxonomy_kingdom,source_taxonomy_phylum,source_taxonomy_class,source_taxonomy_order,source_taxonomy_family,source_taxonomy_genus,hierarchy_match,taxonomy_provenance,manual_correction_applied,manual_corrected_query_name,manual_correction_note
Plea minutissima,wqbench,21,FALSE,FALSE,wqbench,none,gbif_resolved,Plea minutissima,NA,2020551,SPECIES,Animalia,Arthropoda,Insecta,Hemiptera,Pleidae,Plea,NA,Animalia,Arthropoda,Insecta,Heteroptera,Pleidae,Plea,TRUE,gbif_full,FALSE,NA,NA
Podocerus fulanus,"envirotox,wqbench",21,FALSE,FALSE,wqbench,class,exact_filtered,Podocerus fulanus,550168,NA,Species,Animalia,Arthropoda,Malacostraca,Amphipoda,Podoceridae,Podocerus,marine,Animalia,Arthropoda,Malacostraca,Amphipoda,Podoceridae,Podocerus,TRUE,worms_full,FALSE,NA,NA
Proasellus coxalis,"envirotox,wqbench",21,FALSE,FALSE,wqbench,exact_name_priority,exact_unaccepted_filtered,Proasellus coxalis coxalis,233891,NA,Species,Animalia,Arthropoda,Malacostraca,Isopoda,Asellidae,Proasellus,freshwater,Animalia,Arthropoda,Malacostraca,Isopoda,Asellidae,Proasellus,TRUE,worms_full,FALSE,NA,NA
Saccobranchus fossilis,anztox,21,FALSE,FALSE,anztox,genus,exact_unaccepted_filtered,Heteropneustes fossilis,321132,NA,Species,Animalia,Chordata,Teleostei,Siluriformes,Heteropneustidae,Saccobranchus,brackish|freshwater,NA,NA,NA,NA,NA,NA,NA,worms_full,FALSE,NA,NA
Scapholeberis kingi,wqbench,21,FALSE,FALSE,wqbench,exact_name_priority,exact_filtered,Scapholeberis kingi,593150,NA,Species,Animalia,Arthropoda,Branchiopoda,Anomopoda,Daphniidae,Scapholeberis,freshwater,Animalia,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Scapholeberis,TRUE,worms_full,FALSE,NA,NA
Spirogyra sp.,wqbench,21,TRUE,FALSE,wqbench,genus_only,genus_resolved,Spirogyra sp.,577679,NA,Genus,Plantae,Charophyta,Zygnematophyceae,Spirogyrales,Spirogyraceae,Spirogyra,freshwater|terrestrial,Plantae,Chlorophyta,Chlorophyceae,Zygnematales,Zygnemataceae,Spirogyra,FALSE,worms_full,FALSE,NA,NA
Synechocystis aquatilis,"anztox,wqbench",21,FALSE,FALSE,wqbench,exact_name_priority,exact_filtered,Synechocystis aquatilis,614880,NA,Species,Bacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Microcystaceae,Synechocystis,freshwater,Monera,Cyanophycota,Cyanophyceae,Chroococcales,Chroococcaceae,Synechocystis,FALSE,worms_full,FALSE,NA,NA
Temora longicornis,"envirotox,wqbench",21,FALSE,FALSE,wqbench,phylum,exact_filtered,Temora longicornis,104878,NA,Species,Animalia,Arthropoda,Copepoda,Calanoida,Temoridae,Temora,marine,Animalia,Arthropoda,Maxillopoda,Calanoida,Temoridae,Temora,TRUE,worms_full,FALSE,NA,NA
Trichogaster pectoralis,"envirotox,wqbench",21,FALSE,FALSE,wqbench,phylum,exact_unaccepted_filtered,Trichopodus pectoralis,1622276,NA,Species,Animalia,Chordata,Teleostei,Anabantiformes,Osphronemidae,Trichogaster,freshwater,Animalia,Chordata,Actinopterygii,Perciformes,Osphronemidae,Trichogaster,TRUE,worms_full,FALSE,NA,NA
Aedes sticticus,"envirotox,wqbench",20,FALSE,FALSE,wqbench,none,gbif_resolved,Aedes sticticus,NA,1651405,SPECIES,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,NA,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,TRUE,gbif_full,FALSE,NA,NA
Aequipecten opercularis,"envirotox,wqbench",20,FALSE,FALSE,wqbench,exact_name_priority,exact_filtered,Aequipecten opercularis,140687,NA,Species,Animalia,Mollusca,Bivalvia,Pectinida,Pectinidae,Aequipecten,marine,Animalia,Mollusca,Bivalvia,Ostreoida,Pectinidae,Aequipecten,TRUE,worms_full,FALSE,NA,NA
Atalophlebia sp.,wqbench,20,TRUE,FALSE,wqbench,none,gbif_resolved,Atalophlebia,NA,4683469,GENUS,Animalia,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Atalophlebia,NA,Animalia,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Atalophlebia,TRUE,gbif_full,FALSE,NA,NA
Balanus improvisus,"envirotox,wqbench",20,FALSE,FALSE,wqbench,phylum,exact_unaccepted_filtered,Amphibalanus improvisus,106218,NA,Species,Animalia,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Balanus,marine,Animalia,Arthropoda,Maxillopoda,Sessilia,Balanidae,Balanus,TRUE,worms_full,FALSE,NA,NA
Capoeta capoeta,wqbench,20,FALSE,FALSE,wqbench,exact_name_priority,exact_filtered,Capoeta capoeta,1026485,NA,Species,Animalia,Chordata,Teleostei,Cypriniformes,Cyprinidae,Capoeta,freshwater,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Capoeta,TRUE,worms_full,FALSE,NA,NA
Cephalodella gibba,wqbench,20,FALSE,FALSE,wqbench,exact_name_priority,exact_filtered,Cephalodella gibba,135039,NA,Species,Animalia,Rotifera,Eurotatoria,Ploima,Notommatidae,Cephalodella,brackish|freshwater|terrestrial,Animalia,Rotifera,Monogononta,Ploima,Notommatidae,Cephalodella,TRUE,worms_full,FALSE,NA,NA
Ceriodaphnia rigaudi,"envirotox,wqbench",20,FALSE,FALSE,wqbench,class,exact_filtered,Ceriodaphnia rigaudi,1302387,NA,Species,Animalia,Arthropoda,Branchiopoda,Anomopoda,Daphniidae,Ceriodaphnia,freshwater,Animalia,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Ceriodaphnia,TRUE,worms_full,FALSE,NA,NA
Chroococcus minor,"anztox,envirotox,wqbench",20,FALSE,FALSE,wqbench,exact_name_priority,exact_filtered,Chroococcus minor,146614,NA,Species,Bacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,Chroococcus,marine|freshwater,Monera,Cyanophycota,Cyanophyceae,Chroococcales,Chroococcaceae,Chroococcus,FALSE,worms_full,FALSE,NA,NA
Coelastrum microporum,"envirotox,wqbench",20,FALSE,FALSE,wqbench,exact_name_priority,exact_filtered,Coelastrum microporum,163975,NA,Species,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Scenedesmaceae,Coelastrum,freshwater|terrestrial,Plantae,Chlorophyta,Chlorophyceae,Chlorococcales,Scenedesmaceae,Coelastrum,TRUE,worms_full,FALSE,NA,NA
Coenagrion sp.,wqbench,20,TRUE,FALSE,wqbench,genus_only,genus_resolved,Coenagrion sp.,890550,NA,Genus,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Coenagrion,freshwater,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Coenagrion,TRUE,worms_full,FALSE,NA,NA
Cricotopus sp,envirotox,20,TRUE,FALSE,envirotox,genus_only,genus_resolved,Cricotopus sp,150874,NA,Genus,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,brackish|freshwater|terrestrial,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,NA,TRUE,worms_full,FALSE,NA,NA
Crinia insignifera,"anztox,wqbench",20,FALSE,FALSE,wqbench,none,gbif_resolved,Crinia insignifera,NA,2424583,SPECIES,Animalia,Chordata,Amphibia,Anura,Myobatrachidae,Crinia,NA,Animalia,Chordata,Amphibia,Anura,Myobatrachidae,Crinia,TRUE,gbif_full,FALSE,NA,NA
Cypretta kawatai,wqbench,20,FALSE,FALSE,wqbench,none,gbif_resolved,Cypretta kawatai,NA,1029067,SPECIES,Animalia,Arthropoda,Ostracoda,Podocopida,Cyprididae,Cypretta,NA,Animalia,Arthropoda,Ostracoda,Podocopida,Cyprididae,Cypretta,TRUE,gbif_full,FALSE,NA,NA
