raw_effect,normalised_effect_lower,effect_category_mapped,n_rows,mapping_rule
"Regeneration: Change in ability to regenerate a body part, byssus production.",regeneration change in ability to regenerate a body part byssus production,MOR,1,human_review
"Survival, reproduction and growth",survival reproduction and growth,MORT,1,mortal|surviv|lethali|death|lethal
Total Cell Volume Growth,total cell volume growth,GRO,1,growth|biomass|yield|length|weight|area
Yield,yield,GRO,1,growth|biomass|yield|length|weight|area
cell count,cell count,POP,1,human_review
cell growth based on fluorimetric values,cell growth based on fluorimetric values,GRO,1,growth|biomass|yield|length|weight|area
development,development,DVP,1,develop|metamorph|differentiat
embryo larval mortality and teratogenesis,embryo larval mortality and teratogenesis,MORT,1,mortal|surviv|lethali|death|lethal
general growth,general growth,GRO,1,growth|biomass|yield|length|weight|area
growth (based on weight at the end of the test),growth based on weight at the end of the test,GRO,1,growth|biomass|yield|length|weight|area
growth and sexual differentiation,growth and sexual differentiation,GRO,1,growth|biomass|yield|length|weight|area
growth rate or yield (not specified),growth rate or yield not specified,GRO,1,growth|biomass|yield|length|weight|area
hatchability,hatchability,HAT,1,hatch
larval development,larval development,DVP,1,develop|metamorph|differentiat
loss of equilibrium,loss of equilibrium,BEH,1,human_review
maternal mortality,maternal mortality,MORT,1,mortal|surviv|lethali|death|lethal
mortality  and/ immobilisation,mortality and immobilisation,MORT,1,mortal|surviv|lethali|death|lethal
"mortality, growth, malfunction",mortality growth malfunction,MORT,1,mortal|surviv|lethali|death|lethal
reproduction and survival,reproduction and survival,MORT,1,mortal|surviv|lethali|death|lethal
survival and reproduction,survival and reproduction,MORT,1,mortal|surviv|lethali|death|lethal
"survival, final gravid females, number of produced young, total births, number of young per female, and births per female",survival final gravid females number of produced young total births number of young per female and births per female,MORT,1,mortal|surviv|lethali|death|lethal
"survival, length, weight",survival length weight,MORT,1,mortal|surviv|lethali|death|lethal
"survival, spawning activity and egg hatchability",survival spawning activity and egg hatchability,MORT,1,mortal|surviv|lethali|death|lethal
total embryotoxicity,total embryotoxicity,DVP,1,human_review
"total progeny, number of broods, mean brood size",total progeny number of broods mean brood size,REP,1,reproduc|fertil|offspring|fecund|brood|egg|spawn
"total progeny, number of broods, mean brood size, dry weight per adult",total progeny number of broods mean brood size dry weight per adult,GRO,1,growth|biomass|yield|length|weight|area
wet weight and total length,wet weight and total length,GRO,1,growth|biomass|yield|length|weight|area
