accepted_name,n_raw_names_in_group,raw_name,sources,n_rows,status,rank_resolved
Bunodosoma cavernatum,2,Bunodosoma cavernata,wqbench,3,exact_unaccepted_filtered,Species
Bunodosoma cavernatum,2,Phymactis cavernata,anztox,3,exact_unaccepted_filtered,Species
Callibaetis,2,Callibaetis sp.,wqbench,21,gbif_resolved,GENUS
Callibaetis,2,Callibaetis sp,envirotox,3,gbif_resolved,GENUS
Caridina rajadhari,2,Caridina rajadhari,wqbench,45,exact_filtered,Species
Caridina rajadhari,2,Caridina rajdhari,envirotox,5,gbif_resolved,SPECIES
Centroptilum,2,Centroptilum sp.,wqbench,6,gbif_resolved,GENUS
Centroptilum,2,Centroptilum sp,envirotox,1,gbif_resolved,GENUS
Cerastoderma edule,2,Cerastoderma edule,"envirotox,wqbench",174,exact_filtered,Species
Cerastoderma edule,2,Cardium edule,anztox,3,exact_unaccepted_filtered,Species
Ceriodaphnia dubia,2,Ceriodaphnia dubia,"anztox,envirotox,wqbench",4383,exact_filtered,Species
Ceriodaphnia dubia,2,Ceriodaphnia affinis,wqbench,27,exact_unaccepted_filtered,Species
Chanda ranga,2,Ambassis ranga,envirotox,3,exact_unaccepted_filtered,Species
Chanda ranga,2,Pseudambassis ranga,wqbench,3,exact_unaccepted_filtered,Species
Chaoborus,2,Chaoborus sp.,wqbench,121,gbif_resolved,GENUS
Chaoborus,2,Chaoborus sp,"anztox,envirotox",9,gbif_resolved,GENUS
Chela cachius,2,Chela cachius,wqbench,2,exact_filtered,Species
Chela cachius,2,Chela atpar,envirotox,1,exact_unaccepted_filtered,Species
Chelon auratus,2,Liza aurata,wqbench,8,exact_unaccepted_filtered,Species
Chelon auratus,2,Mugil auratus,"anztox,envirotox,wqbench",3,exact_unaccepted_filtered,Species
Chlamydomonas moewusii,2,Chlamydomonas moewusii,"anztox,envirotox,wqbench",36,exact_filtered,Species
Chlamydomonas moewusii,2,Chlamydomonas eugametos,"envirotox,wqbench",23,exact_unaccepted_filtered,Species
Chlorolobion braunii,2,Chlorolobion braunii,wqbench,61,exact_filtered,Species
Chlorolobion braunii,2,Ankistrodesmus braunii,wqbench,5,exact_unaccepted_filtered,Species
Chrysops carbonarius,2,Chrysops carbonarius,wqbench,1,gbif_resolved,SPECIES
Chrysops carbonarius,2,Chrysops carbonarus,envirotox,1,gbif_resolved,SPECIES
Clarias gariepinus,2,Clarias gariepinus,"envirotox,wqbench",1363,exact_filtered,Species
Clarias gariepinus,2,Clarias lazera,"envirotox,wqbench",75,exact_unaccepted_filtered,Species
Coptodon zillii,2,Tilapia zillii,"envirotox,wqbench",147,exact_unaccepted_filtered,Species
Coptodon zillii,2,Tilapia melanopleura,"anztox,envirotox,wqbench",23,exact_unaccepted_filtered,Species
Culex pipiens molestus,2,Culex pipiens ssp. molestus,wqbench,111,gbif_resolved,SUBSPECIES
Culex pipiens molestus,2,Culex pipiens molestus,anztox,8,gbif_resolved,SUBSPECIES
Cyclops abyssorum prealpinus,2,Cyclops abyssorum ssp. prealpinus,wqbench,13,gbif_resolved,SUBSPECIES
Cyclops abyssorum prealpinus,2,Cyclops abyssorum prealpinus,anztox,1,gbif_resolved,SUBSPECIES
