casnumber_grouped,accepted_name,medium,min_tier_rank,max_tier_rank,n_distinct_tiers
76448,Americamysis bahia,Marine,1,3,2
76448,Raphidocelis subcapitata,Unknown,2,3,2
76448,Selenastrum capricornutum,Freshwater,2,3,2
76879,Americamysis bahia,Marine,2,3,2
76879,Carassius auratus,Freshwater,1,3,3
76879,Daphnia magna,Freshwater,1,3,3
76879,Daphnia magna,Unknown,1,3,2
76879,Desmodesmus subspicatus,Unknown,1,3,2
76879,Monoraphidium griffithii,Freshwater,2,3,2
76879,Oncorhynchus mykiss,Freshwater,1,3,3
76879,Oncorhynchus mykiss,Unknown,1,3,2
76879,Poecilia reticulata,Freshwater,1,3,2
77474,Americamysis bahia,Marine,1,3,3
77474,Daphnia magna,Unknown,1,3,2
77474,Desmodesmus subspicatus,Freshwater,1,3,3
78488,Metacarcinus magister,Marine,1,3,2
78513,Oryzias latipes,Unknown,1,3,2
78591,Raphidocelis subcapitata,Unknown,1,3,2
78591,Skeletonema costatum,Marine,1,3,3
78831,Daphnia magna,Freshwater,1,3,2
78831,Daphnia magna,Unknown,1,3,2
78875,Pimephales promelas,Unknown,1,3,2
78933,Daphnia magna,Unknown,1,3,2
79005,Daphnia magna,Freshwater,1,3,3
79005,Daphnia magna,Unknown,1,3,2
79005,Marinogammarus marinus,Marine,2,3,2
79016,Ceriodaphnia dubia,Unknown,1,3,2
79016,Chlamydomonas reinhardtii,Unknown,1,3,3
79016,Daphnia magna,Unknown,1,3,2
79016,Pimephales promelas,Freshwater,1,3,3
79061,Pimephales promelas,Freshwater,1,3,3
79083,Daphnia magna,Unknown,1,3,2
79107,Daphnia magna,Freshwater,1,3,2
79118,Daphnia magna,Freshwater,1,3,2
79118,Daphnia magna,Unknown,1,3,2
79345,Daphnia magna,Freshwater,1,3,3
79345,Daphnia magna,Unknown,1,3,2
79572,Brachionus koreanus,Marine,1,3,2
79572,Daphnia magna,Unknown,1,3,2
79572,Dolichospermum flos-aquae,Unknown,1,3,2
79572,Microcystis aeruginosa,Freshwater,1,3,3
79572,Oryzias latipes,Freshwater,1,3,2
79572,Oryzias latipes,Unknown,1,3,2
79572,Raphidocelis subcapitata,Freshwater,1,3,3
79572,Raphidocelis subcapitata,Unknown,1,3,2
79947,Acartia (Acanthacartia) tonsa,Marine,1,3,3
79947,Daphnia magna,Unknown,1,3,2
79947,Mytilus galloprovincialis,Marine,2,3,2
79947,Pseudodiaptomus inopinus inopinus,Unknown,1,3,2
79947,Ruditapes philippinarum,Marine,1,3,3
80057,Acartia (Acanthacartia) tonsa,Marine,1,3,3
80057,Asellus (Asellus) aquaticus aquaticus,Freshwater,1,3,3
80057,Brachionus koreanus,Unknown,1,3,2
80057,Cyprinus carpio,Freshwater,1,3,3
80057,Daphnia magna,Freshwater,1,3,3
80057,Daphnia magna,Unknown,1,3,2
80057,Haliotis diversicolor supertexta,Marine,1,3,3
80057,Lumbriculus variegatus,Freshwater,1,3,3
80057,Oncorhynchus mykiss,Freshwater,1,3,3
80057,Oryzias latipes,Unknown,1,3,2
80057,Xiphophorus hellerii,Freshwater,2,3,2
80057,Xiphophorus hellerii,Unknown,1,3,2
80466,Cyprinus carpio,Freshwater,2,3,2
80626,Daphnia magna,Unknown,1,3,2
83329,Cyprinodon variegatus,Unknown,1,3,2
83329,Daphnia magna,Unknown,1,3,2
83329,Raphidocelis subcapitata,Unknown,1,3,2
83421,Daphnia magna,Unknown,1,3,2
83794,Daphnia magna,Unknown,1,3,2
83794,Oncorhynchus mykiss,Unknown,1,3,2
84662,Cyprinus carpio,Freshwater,1,3,3
84662,Daphnia magna,Unknown,1,3,2
84662,Raphidocelis subcapitata,Unknown,1,3,2
84662,Selenastrum capricornutum,Freshwater,1,3,3
84742,Chironomus plumosus,Freshwater,1,3,2
84742,Cyprinus carpio,Freshwater,1,3,3
84742,Daphnia magna,Freshwater,1,3,3
84742,Daphnia magna,Unknown,1,3,2
84742,Desmodesmus subspicatus,Unknown,1,3,2
84742,Haliotis diversicolor supertexta,Marine,2,3,2
84742,Monocorophium acherusicum,Marine,1,3,3
84742,Oncorhynchus mykiss,Unknown,1,3,2
84742,Palaemon pugio,Marine,1,3,3
84742,Pimephales promelas,Freshwater,1,3,2
84742,Salvelinus fontinalis,Freshwater,1,3,3
84742,Salvelinus fontinalis,Unknown,1,3,2
84742,Selenastrum capricornutum,Freshwater,1,3,3
84742,Xenopus laevis,Freshwater,1,3,3
84742,Xenopus laevis,Unknown,1,3,3
84753,Daphnia magna,Unknown,1,3,2
85007,Dunaliella tertiolecta,Marine,2,3,2
85007,Isochrysis galbana,Marine,2,3,2
85007,Lemna minor,Freshwater,2,3,2
85007,Lepomis macrochirus,Freshwater,1,3,2
85007,Lepomis macrochirus,Unknown,1,3,2
85007,Phaeodactylum tricornutum,Marine,2,3,2
85018,Daphnia magna,Freshwater,1,3,3
85018,Daphnia magna,Unknown,1,3,2
85018,Daphnia pulex,Freshwater,1,3,3
85018,Mytilus edulis,Marine,1,3,3
85018,Neanthes arenaceodentata,Marine,1,3,3
85018,Raphidocelis subcapitata,Freshwater,2,3,2
85018,Raphidocelis subcapitata,Unknown,1,3,2
85449,Raphidocelis subcapitata,Unknown,1,3,2
85687,Chironomus tentans,Freshwater,1,3,3
85687,Chironomus tentans,Unknown,1,3,2
85687,Danio rerio,Freshwater,1,3,3
85687,Daphnia magna,Freshwater,1,3,3
85687,Daphnia magna,Unknown,1,3,2
85687,Raphidocelis subcapitata,Unknown,1,3,2
86306,Daphnia magna,Unknown,1,3,2
86500,Ambystoma gracile,Freshwater,1,3,3
86500,Ambystoma maculatum,Freshwater,1,3,3
86500,Americamysis bahia,Unknown,1,3,2
86500,Daphnia magna,Unknown,1,3,2
86500,Mercenaria mercenaria,Marine,2,3,2
86500,Oncorhynchus mykiss,Freshwater,1,3,3
86737,Daphnia magna,Unknown,1,3,2
86737,Raphidocelis subcapitata,Unknown,1,3,2
87592,Daphnia magna,Unknown,1,3,2
87616,Cyclotella meneghiniana,Unknown,2,3,2
87616,Danio rerio,Unknown,1,3,2
87616,Daphnia magna,Freshwater,1,3,3
87616,Daphnia magna,Unknown,1,3,2
87616,Gambusia affinis,Unknown,1,3,2
87616,Oncorhynchus mykiss,Freshwater,2,3,2
87616,Portunus pelagicus,Marine,1,3,3
87627,Daphnia magna,Unknown,1,3,2
87683,Pimephales promelas,Unknown,1,3,2
87865,Auxenochlorella pyrenoidosa,Freshwater,1,3,3
87865,Brachionus plicatilis,Unknown,1,3,2
87865,Carassius auratus,Freshwater,1,3,3
87865,Ceriodaphnia dubia,Freshwater,1,3,3
87865,Ceriodaphnia dubia,Unknown,1,3,2
87865,Chanodichthys erythropterus,Freshwater,1,3,3
87865,Chlorella vulgaris,Unknown,1,3,2
87865,Crassostrea virginica,Marine,2,3,2
87865,Danio rerio,Freshwater,1,3,3
87865,Daphnia (Ctenodaphnia) carinata,Freshwater,1,3,3
87865,Daphnia (Ctenodaphnia) carinata,Unknown,1,3,2
87865,Daphnia magna,Freshwater,1,3,3
87865,Daphnia magna,Unknown,1,3,2
87865,Jordanella floridae,Freshwater,1,3,2
87865,Lymnaea stagnalis,Freshwater,1,3,3
87865,Marinogammarus marinus,Marine,1,3,3
87865,Mylopharyngodon piceus,Freshwater,1,3,3
87865,Nitocra spinipes spinipes,Marine,2,3,2
87865,Notopterus notopterus,Freshwater,1,3,3
87865,Oncorhynchus mykiss,Unknown,1,3,2
87865,Oryzias latipes,Freshwater,1,3,3
87865,Palaemon pugio,Marine,2,3,2
87865,Physella gyrina,Unknown,1,3,2
87865,Plagiognathops microlepis,Freshwater,1,3,3
87865,Poecilia reticulata,Freshwater,1,3,2
87865,Pomatoschistus minutus,Marine,2,3,2
87865,Simocephalus vetulus,Freshwater,1,3,3
87865,Skeletonema costatum,Marine,1,3,3
87865,Xenopus laevis,Freshwater,1,3,3
88062,Daphnia magna,Freshwater,1,3,2
88062,Daphnia magna,Unknown,1,3,2
88302,Tubifex tubifex,Freshwater,1,3,3
88722,Auxenochlorella pyrenoidosa,Freshwater,1,3,3
88722,Auxenochlorella pyrenoidosa,Unknown,1,3,2
88722,Daphnia magna,Freshwater,2,3,2
88733,Daphnia magna,Unknown,1,3,2
