original_scientificname,bucket,accepted_name,genus,resolution_status,taxonomy_provenance,sources,n_rows
Synechococcus sp. S41,raw_genus_level,Synechococcus sp. S41,Synechococcus,genus_resolved,worms_full,anztox,1
Synechocystis sp. H6,raw_genus_level,Synechocystis sp. H6,Synechocystis,genus_resolved,worms_full,anztox,1
Synechocystis sp. S63,raw_genus_level,Synechocystis sp. S63,Synechocystis,genus_resolved,worms_full,anztox,1
Synodontis sp.,raw_genus_level,Synodontis sp.,Synodontis,genus_resolved,worms_full,wqbench,1
Taeniopteryx sp.,raw_genus_level,Taeniopteryx,Taeniopteryx,gbif_resolved,gbif_full,wqbench,1
Tasmanocoenis sp.,raw_genus_level,Tasmanocoenis,Tasmanocoenis,gbif_resolved,gbif_full,wqbench,1
Tetraedron sp.,raw_genus_level,Tetraedron sp.,Tetraedron,genus_resolved,worms_full,wqbench,1
Thalassiosira sp,raw_genus_level,Thalassiosira sp,Thalassiosira,genus_resolved,worms_full,envirotox,1
Tresus sp,raw_genus_level,Tresus sp,Tresus,genus_resolved,worms_full,envirotox,1
Triaenodes sp.,raw_genus_level,Triaenodes sp.,Triaenodes,genus_resolved,worms_full,wqbench,1
Trichocerca sp,raw_genus_level,Trichocerca sp,Trichocerca,genus_resolved,worms_full,envirotox,1
Tricorythodes sp,raw_genus_level,Tricorythodes,Tricorythodes,gbif_resolved,gbif_full,envirotox,1
Tricorythus sp,raw_genus_level,Tricorythus,Tricorythus,gbif_resolved,gbif_full,envirotox,1
Tricorythus sp.,raw_genus_level,Tricorythus,Tricorythus,gbif_resolved,gbif_full,wqbench,1
Triogma sp.,raw_genus_level,Triogma,Triogma,gbif_resolved,gbif_full,wqbench,1
Tubificidae,raw_genus_level,Naididae,NA,exact_unaccepted_filtered,worms_full,anztox,1
Xenopus sp,raw_genus_level,Xenopus sp,Xenopus,genus_resolved,worms_full,envirotox,1
