casnumber_grouped,accepted_name,source,statistic_type,stat_tier,test_class,conc_ug_L
52918635,Crangon septemspinosa,wqbench,IC25,undefined_x_needs_ruling,chronic,0.032
16887006,Tubifex tubifex,wqbench,IC25,undefined_x_needs_ruling,chronic,606000
57636,Chironomus tentans,wqbench,LC25,undefined_x_needs_ruling,chronic,2700
76051,Myriophyllum spicatum,wqbench,EC25,undefined_x_needs_ruling,chronic,196200
79572,Egeria densa,wqbench,EC25,undefined_x_needs_ruling,chronic,141.2
7440020,Chlamydomonas reinhardtii,wqbench,EC30,undefined_x_needs_ruling,chronic,6.7
138261413,Hyalella azteca,wqbench,LC25,undefined_x_needs_ruling,chronic,4.23
55335063,Myriophyllum sibiricum,wqbench,IC25,undefined_x_needs_ruling,chronic,16.7
95761,Pimephales promelas,wqbench,IC25,undefined_x_needs_ruling,chronic,310
138261413,Daphnia magna,wqbench,EC25,undefined_x_needs_ruling,chronic,3520
16887006,Isonychia bicolor,wqbench,IC25,undefined_x_needs_ruling,chronic,5500000
7440020,Hyalella azteca,wqbench,LC25,undefined_x_needs_ruling,chronic,1440
85687,Synedra minutissima var. pelliculosa,wqbench,EC25,undefined_x_needs_ruling,chronic,265.343
7440020,Catostomus commersonii,wqbench,EC25,undefined_x_needs_ruling,chronic,250
114078,Dunaliella tertiolecta,wqbench,EC25,undefined_x_needs_ruling,chronic,4230
1912249,Myriophyllum sibiricum,wqbench,IC25,undefined_x_needs_ruling,chronic,1069.9
27854315,Chironomus dilutus,wqbench,EC25,undefined_x_needs_ruling,chronic,780
111988499,Hyalella azteca,wqbench,EC25,undefined_x_needs_ruling,chronic,0.45
2921882,Lepomis macrochirus,wqbench,IC25,undefined_x_needs_ruling,chronic,0.632
210880925,Chironomus dilutus,wqbench,EC25,undefined_x_needs_ruling,chronic,0.54
16887006,Ceriodaphnia dubia,wqbench,IC25,undefined_x_needs_ruling,chronic,264000
87865,Etheostoma fonticola,wqbench,IC25,undefined_x_needs_ruling,chronic,26
631641,Cyprinodon variegatus,wqbench,IC25,undefined_x_needs_ruling,chronic,341200
63252,Pimephales promelas,wqbench,IC25,undefined_x_needs_ruling,chronic,420
1763231,Chironomus dilutus,wqbench,IC25,undefined_x_needs_ruling,chronic,4.18
1071836,Lemna gibba,wqbench,IC25,undefined_x_needs_ruling,chronic,10200
53826134,Elodea canadensis,wqbench,EC25,undefined_x_needs_ruling,chronic,1292
70887886,Chironomus tentans,wqbench,EC25,undefined_x_needs_ruling,chronic,100000
53826123,Raphidocelis subcapitata,wqbench,EC25,undefined_x_needs_ruling,chronic,53000
106467,Neanthes arenaceodentata,wqbench,IC25,undefined_x_needs_ruling,chronic,6440
79572,Egeria densa,wqbench,EC25,undefined_x_needs_ruling,chronic,137.3
2921882,Ceriodaphnia dubia,wqbench,EC25,undefined_x_needs_ruling,chronic,0.022
56360,Macrocystis pyrifera,wqbench,IC25,undefined_x_needs_ruling,chronic,6.949999999999999
127082,Raphidocelis subcapitata,wqbench,IC25,undefined_x_needs_ruling,chronic,28600
375735,Chlorella vulgaris,wqbench,EC30,undefined_x_needs_ruling,chronic,97450
77238392,Daphnia magna,wqbench,LC25,undefined_x_needs_ruling,chronic,48.63000000000001
16887006,Isonychia bicolor,wqbench,IC25,undefined_x_needs_ruling,chronic,2500000
1912249,Raphidocelis subcapitata,wqbench,EC25,undefined_x_needs_ruling,chronic,48.46
76040,Myriophyllum spicatum,wqbench,EC25,undefined_x_needs_ruling,chronic,4689900
103902,Selenastrum capricornutum,wqbench,IC25,undefined_x_needs_ruling,chronic,32
210880925,Neocloeon triangulifer,wqbench,LC25,undefined_x_needs_ruling,chronic,1.71
7440508,Etheostoma fonticola,wqbench,IC25,undefined_x_needs_ruling,chronic,8.1
153719234,Planorbella pilsbryi,wqbench,EC25,undefined_x_needs_ruling,chronic,26.8
55335063,Myriophyllum sibiricum,wqbench,IC25,undefined_x_needs_ruling,chronic,53.400000000000006
70887944,Daphnia magna,wqbench,EC25,undefined_x_needs_ruling,chronic,235
2921882,Lepomis macrochirus,wqbench,IC25,undefined_x_needs_ruling,chronic,1.38
79436,Myriophyllum sibiricum,wqbench,EC25,undefined_x_needs_ruling,chronic,60200
793248,Lampsilis siliquoidea,wqbench,EC25,undefined_x_needs_ruling,chronic,7
1912249,Lemna minor,wqbench,IC25,undefined_x_needs_ruling,chronic,37.03
7440439,Hyla chrysoscelis,wqbench,LC40,undefined_x_needs_ruling,chronic,29.2
210880925,Lampsilis siliquoidea,wqbench,LC25,undefined_x_needs_ruling,chronic,9033
1912249,Elodea canadensis,wqbench,EC25,undefined_x_needs_ruling,chronic,8
7440439,Raphidocelis subcapitata,wqbench,IC25,undefined_x_needs_ruling,chronic,4.09999999999999
57636,Chironomus tentans,wqbench,EC25,undefined_x_needs_ruling,chronic,780
56360,Americamysis bahia,wqbench,IC25,undefined_x_needs_ruling,chronic,0.345
7439976,Hyla squirella,wqbench,LC40,undefined_x_needs_ruling,chronic,1.9
53826134,Daphnia magna,wqbench,EC25,undefined_x_needs_ruling,chronic,39
1912249,Elodea canadensis,wqbench,EC25,undefined_x_needs_ruling,chronic,1.1e-4
7440508,Cyprinella monacha,wqbench,IC25,undefined_x_needs_ruling,chronic,42
335671,Hyalella azteca,wqbench,EC25,undefined_x_needs_ruling,chronic,606
51218452,Myriophyllum sibiricum,wqbench,IC25,undefined_x_needs_ruling,chronic,675.1
165252700,Chironomus dilutus,wqbench,EC25,undefined_x_needs_ruling,chronic,17.61
53826134,Chironomus tentans,wqbench,EC25,undefined_x_needs_ruling,chronic,16270
7664417,Lampsilis rafinesqueana,wqbench,IC25,undefined_x_needs_ruling,chronic,2700
138261413,Hyalella azteca,wqbench,LC25,undefined_x_needs_ruling,chronic,38
3380345,Dunaliella tertiolecta,wqbench,EC25,undefined_x_needs_ruling,chronic,21
16887006,Isonychia bicolor,wqbench,IC25,undefined_x_needs_ruling,chronic,185000
10124319,Notropis mekistocholas,wqbench,IC25,undefined_x_needs_ruling,chronic,8800
7440508,Stigeoclonium helveticum,wqbench,IC25,undefined_x_needs_ruling,chronic,24.32999999999999
87865,Pimephales promelas,wqbench,IC25,undefined_x_needs_ruling,chronic,112
79118,Myriophyllum spicatum,wqbench,EC25,undefined_x_needs_ruling,chronic,5300
138261413,Planorbella pilsbryi,wqbench,LC25,undefined_x_needs_ruling,chronic,1801.1
2921882,Lepomis macrochirus,wqbench,IC25,undefined_x_needs_ruling,chronic,0.866
16887006,Hyalella azteca,wqbench,LC25,undefined_x_needs_ruling,chronic,998000
27854315,Chironomus tentans,wqbench,LC25,undefined_x_needs_ruling,chronic,1760
153719234,Chironomus dilutus,wqbench,EC25,undefined_x_needs_ruling,chronic,12.02
60548,Brachionus plicatilis,wqbench,IC25,undefined_x_needs_ruling,chronic,163240
70887944,Chlorella vulgaris,wqbench,EC25,undefined_x_needs_ruling,chronic,1900
124481,Isochrysis galbana,wqbench,EC25,undefined_x_needs_ruling,chronic,80600
110861,Tubifex tubifex,wqbench,LC25,undefined_x_needs_ruling,chronic,6420
14808798,Pseudacris regilla,wqbench,EC25,undefined_x_needs_ruling,chronic,1205000
25154523,Phaeodactylum tricornutum,wqbench,EC30,undefined_x_needs_ruling,chronic,458
7173515,Ceriodaphnia dubia,wqbench,IC25,undefined_x_needs_ruling,chronic,73.7
14808798,Raphidocelis subcapitata,wqbench,EC25,undefined_x_needs_ruling,chronic,1112000
76040,Myriophyllum spicatum,wqbench,EC25,undefined_x_needs_ruling,chronic,53000
77238392,Ceriodaphnia dubia,wqbench,EC25,undefined_x_needs_ruling,chronic,2.92
111988499,Chironomus dilutus,wqbench,LC25,undefined_x_needs_ruling,chronic,0.52
7439976,Aquarana grylio,wqbench,LC40,undefined_x_needs_ruling,chronic,65
79436,Myriophyllum sibiricum,wqbench,EC25,undefined_x_needs_ruling,chronic,204400
79436,Myriophyllum spicatum,wqbench,EC25,undefined_x_needs_ruling,chronic,10600
76051,Myriophyllum spicatum,wqbench,EC25,undefined_x_needs_ruling,chronic,10000000
3380345,Ceriodaphnia dubia,wqbench,IC25,undefined_x_needs_ruling,chronic,170
76040,Myriophyllum spicatum,wqbench,EC25,undefined_x_needs_ruling,chronic,104700
14797558,Pimephales promelas,wqbench,LC25,undefined_x_needs_ruling,chronic,1900
1912249,Myriophyllum sibiricum,wqbench,IC25,undefined_x_needs_ruling,chronic,1605.6999999999998
87865,Oncorhynchus mykiss,wqbench,IC25,undefined_x_needs_ruling,chronic,88
7440508,Raphidocelis subcapitata,wqbench,IC25,undefined_x_needs_ruling,chronic,152
16887006,Ceriodaphnia dubia,wqbench,IC25,undefined_x_needs_ruling,chronic,1170000
335671,Hyalella azteca,wqbench,LC25,undefined_x_needs_ruling,chronic,38800
79436,Myriophyllum spicatum,wqbench,EC25,undefined_x_needs_ruling,chronic,31300
7440508,Cyprinella monacha,wqbench,IC25,undefined_x_needs_ruling,chronic,33
7440508,Raphidocelis subcapitata,wqbench,IC25,undefined_x_needs_ruling,chronic,198
101043372,Lampsilis siliquoidea,wqbench,LC25,undefined_x_needs_ruling,chronic,7.6
7440508,Pimephales promelas,wqbench,IC25,undefined_x_needs_ruling,chronic,24
57636,Hyalella azteca,wqbench,EC25,undefined_x_needs_ruling,chronic,600
55335063,Myriophyllum sibiricum,wqbench,IC25,undefined_x_needs_ruling,chronic,2660
7440439,Gastrophryne carolinensis,wqbench,LC40,undefined_x_needs_ruling,chronic,34.4
53826123,Chironomus tentans,wqbench,LC25,undefined_x_needs_ruling,chronic,65360
15905869,Chironomus tentans,wqbench,EC25,undefined_x_needs_ruling,chronic,1180
59587381,Chlorella vulgaris,wqbench,EC40,undefined_x_needs_ruling,chronic,157800
138261413,Hyalella azteca,wqbench,LC25,undefined_x_needs_ruling,chronic,70
7440508,Stigeoclonium helveticum,wqbench,IC25,undefined_x_needs_ruling,chronic,25.95
7440508,Lemna minor,wqbench,IC25,undefined_x_needs_ruling,chronic,810
7440508,Hyalella azteca,wqbench,LC25,undefined_x_needs_ruling,chronic,12
50000,Tubifex tubifex,wqbench,LC25,undefined_x_needs_ruling,chronic,360
951659408,Hyalella azteca,wqbench,LC25,undefined_x_needs_ruling,chronic,20
51235042,Myriophyllum sibiricum,wqbench,IC25,undefined_x_needs_ruling,chronic,125
7173515,Oryzias latipes,wqbench,IC25,undefined_x_needs_ruling,chronic,1563
15905869,Daphnia magna,wqbench,EC25,undefined_x_needs_ruling,chronic,830
335671,Hyalella azteca,wqbench,LC25,undefined_x_needs_ruling,chronic,35500
76040,Myriophyllum spicatum,wqbench,EC25,undefined_x_needs_ruling,chronic,1882600
40465665,Lemna gibba,wqbench,IC25,undefined_x_needs_ruling,chronic,6200
141322,Phaeodactylum tricornutum,wqbench,EC30,undefined_x_needs_ruling,chronic,25430
2921882,Lepomis macrochirus,wqbench,IC25,undefined_x_needs_ruling,chronic,0.29
14797558,Ceriodaphnia dubia,wqbench,IC25,undefined_x_needs_ruling,chronic,30
82657043,Ceriodaphnia dubia,wqbench,EC25,undefined_x_needs_ruling,chronic,0.245
90302,Pimephales promelas,wqbench,LC25,undefined_x_needs_ruling,chronic,54
375735,Microcystis aeruginosa,wqbench,EC30,undefined_x_needs_ruling,chronic,70080
14797558,Chironomus dilutus,wqbench,IC25,undefined_x_needs_ruling,chronic,380
43210679,Daphnia magna,wqbench,IC25,undefined_x_needs_ruling,chronic,2.1
12125029,Pimephales promelas,wqbench,IC25,undefined_x_needs_ruling,chronic,9460
79118,Myriophyllum sibiricum,wqbench,EC25,undefined_x_needs_ruling,chronic,7200
165252700,Hyalella azteca,wqbench,LC25,undefined_x_needs_ruling,chronic,39
2795393,Microcystis aeruginosa,wqbench,EC40,undefined_x_needs_ruling,chronic,53650
7782505,Cyprinella monacha,wqbench,IC25,undefined_x_needs_ruling,chronic,616
