source,scientificname,kingdom,phylum,subphylum,superclass,class,order_taxon,family,genus,common_name,source_majorgroup,source_minorgroup,source_trophic,source_ecological,source_animaltype,source_animalcategory,isheterotroph,ncbi_taxid
anztox,Asellus aquaticus,NA,NA,NA,NA,NA,NA,NA,NA,Aquatic sowbug,CR,ISOP,NA,NA,Invertebrate,Crustaceans,NA,NA
anztox,Asellus brevicaudus,NA,NA,NA,NA,NA,NA,NA,NA,Aquatic sowbug,CR,ISOP,NA,NA,Invertebrate,Crustaceans,NA,NA
anztox,Asellus brevicaudus (Caecidotea brevicauda),Animalia,Arthropoda,NA,NA,Malacostraca,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macroinvertebrates,TRUE,NA
anztox,Asellus communis,NA,NA,NA,NA,NA,NA,NA,NA,Aquatic sowbug,CR,AMPH,NA,NA,Invertebrate,Crustaceans,NA,NA
anztox,Asellus hilgendorfi,NA,NA,NA,NA,NA,NA,NA,NA,Aquatic sowbug,CR,AMPH,NA,NA,Invertebrate,Crustaceans,NA,NA
anztox,Asellus intermedius,NA,NA,NA,NA,NA,NA,NA,NA,Aquatic sowbug,CR,ISOP,NA,NA,Invertebrate,Crustaceans,NA,NA
anztox,Asellus militaris,NA,NA,NA,NA,NA,NA,NA,NA,Aquatic sowbug,CR,ISOP,NA,NA,Invertebrate,Crustaceans,NA,NA
anztox,Astacus fluviatilis,NA,NA,NA,NA,NA,NA,NA,NA,Crayfish,CR,DECA,NA,NA,Invertebrate,Crustaceans,NA,NA
anztox,Asterias forbesi,NA,NA,NA,NA,NA,NA,NA,NA,Common starfish,EC,ECHI,NA,NA,Invertebrate,Echinoderms,NA,NA
anztox,Asterionella japonica,NA,NA,NA,NA,NA,NA,NA,NA,Diatom,Algae,Bacillariophyta,NA,NA,Others,Red algae,NA,NA
anztox,Atherinops affinis,NA,NA,NA,NA,NA,NA,NA,NA,Topsmelt,OS,ATHE,NA,NA,Fish,Fish,NA,NA
anztox,Australorbis glabratus,NA,NA,NA,NA,NA,NA,NA,NA,Snail,ML,GASR,NA,NA,Invertebrate,Molluscs,NA,NA
anztox,Austropotamobius pallipes pall,NA,NA,NA,NA,NA,NA,NA,NA,Crayfish,CR,DECA,NA,NA,Invertebrate,Crustaceans,NA,NA
anztox,Azolla sp,NA,NA,NA,NA,NA,NA,NA,NA,Water fern,TR,PTER,NA,NA,Plant,Macrophytes,NA,NA
anztox,Bacillariophyceae,NA,NA,NA,NA,NA,NA,NA,NA,Diatom class,AL,BACI,NA,NA,Plant,Diatom,NA,NA
anztox,Bacillus subtilis,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,NA,NA,NA,NA,Others,Bacteria,NA,NA
anztox,Baetis intermedius,NA,NA,NA,NA,NA,NA,NA,NA,Mayfly,IN,EPHE,NA,NA,Invertebrate,Insects,NA,NA
anztox,Baetis rhodani,NA,NA,NA,NA,NA,NA,NA,NA,Mayfly,IN,EPHE,NA,NA,Invertebrate,Insects,NA,NA
anztox,Baetis sp,NA,NA,NA,NA,NA,NA,NA,NA,Mayfly,IN,EPHE,NA,NA,Invertebrate,Insects,NA,NA
anztox,Baetis vagans,NA,NA,NA,NA,NA,NA,NA,NA,Mayfly,IN,EPHE,NA,NA,Invertebrate,Insects,NA,NA
anztox,Balanus amphitrite,NA,NA,NA,NA,NA,NA,NA,NA,Barnacle,CR,CIRR,NA,NA,Invertebrate,Crustaceans,NA,NA
anztox,Balanus eburneus,NA,NA,NA,NA,NA,NA,NA,NA,Barnacle,CR,CIRR,NA,NA,Invertebrate,Crustaceans,NA,NA
anztox,Barbus gonionotus,NA,NA,NA,NA,NA,NA,NA,NA,Silver barb,OS,CYPI,NA,NA,Fish,Fish,NA,NA
anztox,Barbus sarana,NA,NA,NA,NA,NA,NA,NA,NA,Barb,OS,CYPI,NA,NA,Fish,Fish,NA,NA
anztox,Barbus sophore,NA,NA,NA,NA,NA,NA,NA,NA,"Two spot barb, dotted barb",OS,CYPI,NA,NA,Fish,Fish,NA,NA
anztox,Barbus sp,NA,NA,NA,NA,NA,NA,NA,NA,"Barb, yellowfish",OS,NA,NA,NA,Fish,Fish,NA,NA
anztox,Barbus stigma,NA,NA,NA,NA,NA,NA,NA,NA,Barb,OS,CYPI,NA,NA,Fish,Fish,NA,NA
anztox,Barbus ticto,NA,NA,NA,NA,NA,NA,NA,NA,"Two spotted,tic tac toe barb",OS,CYPI,NA,NA,Fish,Fish,NA,NA
anztox,Barilius varga,NA,NA,NA,NA,NA,NA,NA,NA,NA,OS,NA,NA,NA,Fish,Fish,NA,NA
anztox,Batrachium trichophyllum,Plantae,Tracheophyta,NA,NA,Magnoliopsida,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macrophytes,FALSE,NA
anztox,Berosus afairmaiyi,NA,NA,NA,NA,NA,NA,NA,NA,Water scavenger beetle,IN,NA,NA,NA,Invertebrate,Insects,NA,NA
anztox,Berosus sp,NA,NA,NA,NA,NA,NA,NA,NA,Beetle,IN,COLE,NA,NA,Invertebrate,Insects,NA,NA
anztox,Berula erecta,Plantae,Tracheophyta,NA,NA,Magnoliopsida,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macrophytes,FALSE,NA
anztox,Biomphalaria alexandrina,NA,NA,NA,NA,NA,NA,NA,NA,Snail,ML,GASR,NA,NA,Invertebrate,Molluscs,NA,NA
anztox,Bithynia tentaculata,NA,NA,NA,NA,NA,NA,NA,NA,Snail,ML,GASR,NA,NA,Invertebrate,Molluscs,NA,NA
anztox,Blennius pholis,NA,NA,NA,NA,NA,NA,NA,NA,Shanny,OS,BLEN,NA,NA,Fish,Fish,NA,NA
anztox,Bonasa umbellus,NA,NA,NA,NA,NA,NA,NA,NA,Ruffed grouse,NA,NA,NA,NA,NA,NA,NA,NA
anztox,Bosmina longirostris,NA,NA,NA,NA,NA,NA,NA,NA,Water flea,CR,CLAD,NA,NA,Invertebrate,Crustaceans,NA,NA
anztox,Bosmina sp,NA,NA,NA,NA,NA,NA,NA,NA,Water flea,CR,CLAD,NA,NA,Invertebrate,Crustaceans,NA,NA
anztox,Brachionus calyciflorus,NA,NA,NA,NA,NA,NA,NA,NA,Rotifer,RO,ROTI,NA,NA,Invertebrate,Rotifers,NA,NA
anztox,Brachionus plicatilis,NA,NA,NA,NA,NA,NA,NA,NA,Rotifer,RO,ROIT,NA,NA,Invertebrate,Rotifers,NA,NA
anztox,Brachycentrus americanus,NA,NA,NA,NA,NA,NA,NA,NA,Caddisfly,IN,TRIO,NA,NA,Invertebrate,Insects,NA,NA
anztox,Brachydanio rerio,NA,NA,NA,NA,NA,NA,NA,NA,"Zebra danio, zebrafish",Osteichthyes,Cyprinidae,NA,NA,Fish,Fish,NA,NA
anztox,Branchiostoma caribaeum,NA,NA,NA,NA,NA,NA,NA,NA,Caribbean lancelet,NA,NA,NA,NA,Fish,Fish,NA,NA
anztox,Branchiura sowerbi,NA,NA,NA,NA,NA,NA,NA,NA,Annelid,NA,NA,NA,NA,NA,NA,NA,NA
anztox,Branchiura sowerbyi,NA,NA,NA,NA,NA,NA,NA,NA,Oligochaete,AN,OLIG,NA,NA,Invertebrate,Annelids,NA,NA
anztox,Brevoortia tyrannus,NA,NA,NA,NA,NA,NA,NA,NA,Atlantic menhaden,OS,CLUP,NA,NA,Fish,Fish,NA,NA
anztox,Bufo americanus,NA,NA,NA,NA,NA,NA,NA,NA,American toad,AM,BUFO,NA,NA,Others,Amphibians,NA,NA
anztox,Bufo bufo,NA,NA,NA,NA,NA,NA,NA,NA,Common or european toad,AM,BUFO,NA,NA,Others,Amphibians,NA,NA
anztox,Bufo bufo japonicus,NA,NA,NA,NA,NA,NA,NA,NA,Toad,AM,BUFO,NA,NA,Others,Amphibians,NA,NA
anztox,Bufo woodhousei fowleri,NA,NA,NA,NA,NA,NA,NA,NA,Fowler's toad,AM,BUFO,NA,NA,Others,Amphibians,NA,NA
anztox,Bythotrephes longimanus,NA,NA,NA,NA,NA,NA,NA,NA,Water flea,CR,CLAD,NA,NA,Invertebrate,Crustaceans,NA,NA
anztox,Caenis horaria,NA,NA,NA,NA,NA,NA,NA,NA,Mayfly,IN,EPHE,NA,NA,Invertebrate,Insects,NA,NA
anztox,Calanus finmarchicus,NA,NA,NA,NA,NA,NA,NA,NA,Calanoid copepod,CR,CALA,NA,NA,Invertebrate,Crustaceans,NA,NA
