raw_species,n_rows,sources,example_cas,worms_status,gbif_status,resolved_by,accepted_name,rank,kingdom,phylum,class,order,family,genus,habitat
Hydrilla verticillata,591,wqbench,1912249,exact,NA,worms,Hydrilla verticillata,Species,Plantae,Tracheophyta,Magnoliopsida,Alismatales,Hydrocharitaceae,Hydrilla,freshwater
Dunaliella tertiolecta,585,"anztox,envirotox,wqbench",106489,exact,NA,worms,Dunaliella tertiolecta,Species,Plantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Dunaliellaceae,Dunaliella,marine
Lampsilis siliquoidea,580,"anztox,envirotox,wqbench",1071836,ambiguous,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA
Culex pipiens,570,"anztox,envirotox,wqbench",309002,exact,NA,worms,Culex pipiens,Species,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,freshwater|terrestrial
Corbicula fluminea,546,"anztox,envirotox,wqbench",100000004,ambiguous,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fistulifera pelliculosa,545,wqbench,94125345,exact_unaccepted,NA,worms,Synedra minutissima var. pelliculosa,Species,Chromista,Heterokontophyta,Bacillariophyceae,Naviculales,Naviculaceae,Fistulifera,freshwater
Moina macrocopa,542,"anztox,envirotox,wqbench",138261413,ambiguous,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhinella arenarum,537,wqbench,1912249,exact,NA,worms,Rhinella arenarum,Species,Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhinella,freshwater|terrestrial
Phaeodactylum tricornutum,523,"anztox,envirotox,wqbench",554007,exact_unaccepted,NA,worms,Phaeodactylum tricornutum,Species,Chromista,Heterokontophyta,Bacillariophyceae,Naviculales,Phaeodactylaceae,Phaeodactylum,marine
Gambusia holbrooki,517,"anztox,envirotox,wqbench",60571,ambiguous,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA
Philodina acuticornis,514,"anztox,envirotox,wqbench",108952,ambiguous,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhamdia quelen,509,"anztox,envirotox,wqbench",122349,ambiguous,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acartia tonsa,507,"anztox,envirotox,wqbench",1461229,ambiguous,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ruditapes philippinarum,503,wqbench,678411,ambiguous,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lepomis cyanellus,488,"anztox,envirotox,wqbench",10108642,exact,NA,worms,Lepomis cyanellus,Species,Animalia,Chordata,Teleostei,Centrarchiformes,Centrarchidae,Lepomis,freshwater
Ctenopharyngodon idella,484,"anztox,envirotox,wqbench",330541,exact,NA,worms,Ctenopharyngodon idella,Species,Animalia,Chordata,Teleostei,Cypriniformes,Cyprinidae,Ctenopharyngodon,brackish|freshwater
Pteronarcys californica,483,"anztox,envirotox,wqbench",309002,no_match,gbif_exact,gbif,Pteronarcys californica,SPECIES,Animalia,Arthropoda,Insecta,Plecoptera,Pteronarcyidae,Pteronarcys,NA
Gammarus fossarum,477,"anztox,envirotox,wqbench",71432,exact,NA,worms,Gammarus fossarum,Species,Animalia,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,freshwater
Chlorella sp.,476,"anztox,wqbench",34014181,no_match,gbif_no_match,none,NA,NA,NA,NA,NA,NA,NA,NA,NA
Perna viridis,472,"anztox,envirotox,wqbench",10099748,exact,NA,worms,Perna viridis,Species,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Perna,marine
Penaeus monodon,464,"anztox,envirotox,wqbench",100000001,ambiguous,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA
Notopterus notopterus,463,"anztox,envirotox,wqbench",108952,exact,NA,worms,Notopterus notopterus,Species,Animalia,Chordata,Teleostei,Osteoglossiformes,Notopteridae,Notopterus,brackish|freshwater
Isochrysis galbana,462,"anztox,envirotox,wqbench",834128,exact,NA,worms,Isochrysis galbana,Species,Chromista,Haptophyta,Coccolithophyceae,Isochrysidales,Isochrysidaceae,Isochrysis,marine
Menidia beryllina,455,"anztox,envirotox,wqbench",2921882,ambiguous,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asellus aquaticus,454,"anztox,envirotox,wqbench",2921882,ambiguous,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pelophylax ridibundus,441,wqbench,55389,exact,NA,worms,Pelophylax ridibundus,Species,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,freshwater|terrestrial
Jordanella floridae,440,"anztox,envirotox,wqbench",79005,exact,NA,worms,Jordanella floridae,Species,Animalia,Chordata,Teleostei,Cyprinodontiformes,Cyprinodontidae,Jordanella,brackish|freshwater
Aedes albopictus,434,"anztox,envirotox,wqbench",122349,no_match,gbif_exact,gbif,Aedes albopictus,SPECIES,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,NA
