endpoint_2016_raw,endpoint_2016_abbrev,endpoint_2016_norm,n_rows_2016,endpoint_2000_code,map_method,needs_review
Offspring per female,Offspring per female,offspring per female,1,REP,rule_refined,FALSE
Percent embryo hatch,Percent embryo hatch,percent embryo hatch,1,HAT,rule_refined,FALSE
Population: Growth: Cell density,Population: Growth: Cell density,population growth cell density,1,POP,rule_refined,FALSE
Proliferation,Proliferation,proliferation,1,NA,unmapped,TRUE
Resting egg production,Resting egg production,resting egg production,1,NA,unmapped,TRUE
Shell area,Shell area,shell area,1,NA,unmapped,TRUE
Standard length,Standard length,standard length,1,GRO,rule_refined,FALSE
Surface Area,Surface Area,surface area,1,NA,unmapped,TRUE
Viable embryos,Viable embryos,viable embryos,1,MORT,rule_refined,FALSE
Viable offspring,Viable offspring,viable offspring,1,MORT,rule_refined,FALSE
Weight Gain,Weight Gain,weight gain,1,GRO,rule_refined,FALSE
Weight gain,Weight gain,weight gain,1,GRO,rule_refined,FALSE
Zoospore concentration,Zoospore concentration,zoospore concentration,1,NA,unmapped,TRUE
